Key,coyote,bullfrog,pacific chorus frog,woodhouses toad,field_cricket,human vocal,engine
25,0.9468000000000001,0.9511111111111111,0.5640888888888889,0.9921777777777778,0.850864,0.8622222222222222,0.8400000000000001
50,0.9808,0.9480888888888889,0.5662222222222222,0.9994666666666667,0.796543,0.8933333333333333,0.8479999999999999
75,0.9716,0.9415111111111111,0.6042666666666666,1.0,0.807407,,0.824
100,0.9724,0.9411555555555556,0.5447111111111111,1.0,0.815802,,0.8896
125,0.9904,0.9715555555555556,0.5992888888888889,1.0,0.777778,,
150,0.9803999999999999,0.9511111111111111,0.5685333333333333,0.9975111111111111,0.83358,,
175,0.9787999999999999,0.9612444444444445,0.5532444444444444,1.0,,,
200,0.9768,0.9678222222222223,0.5564444444444444,0.9811555555555556,,,
225,,0.9480888888888889,0.5504,1.0,,,
250,,0.9749333333333332,0.5534222222222223,1.0,,,
275,,0.9616,0.5223111111111112,1.0,,,
300,,0.948088888888889,0.5221333333333333,0.9991111111111112,,,
60,,,,,,0.8977777777777778,
